ID,utterance,charlie,morgane,list-ID,similar,different
1232,quoi ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
1233,c'est des chèvres ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,"PAR-Response:Non-answer:interrogative , NULL",
1234,des chèvres . [media],"[CHI-Follow-up:Repeat-answer,NULL,NULL]","[CHI-Follow-up:Repeat-answer,NULL,NULL]",1,"CHI-Follow-up:Repeat-answer , NULL",
1239,et ça ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
1240,ça c'est pour maman . [media],"[PAR-Response:Answer:no-explanation-needed,NULL,NULL]","[PAR-Response:Answer:no-explanation-needed,NULL,NULL]",1,"PAR-Response:Answer:no-explanation-needed , NULL",
1241,veux ouvrir . [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,NULL,"CHI-Follow-up:Otherwise , CHI-Follow-up:Own-explanation"
1245,ma donner quoi ? [media],"[CHI-Initiation:Information-seeking:fact-based,Complex-long,NULL]","[CHI-Initiation:Information-seeking:fact-based,Complex-long,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , Complex-long , NULL",
1258,c'est quoi ça ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
1259,ça explique ce qu'on peut faire avec la carte . [media],"[PAR-Response:Answer:no-explanation-needed,NULL,NULL]","[PAR-Response:Answer:with-explanation-high-quality,NULL,NULL]",1,NULL,"PAR-Response:Answer:no-explanation-needed , PAR-Response:Answer:with-explanation-high-quality"
1260,\<None\> \<None\> \<None\> ! [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,"CHI-Follow-up:Otherwise , NULL",
1264,ça ɛ peux lire ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
1265,vas_y . [media],"[PAR-Response:Answer:no-explanation-needed,NULL,NULL]","[PAR-Response:Answer:no-explanation-needed,NULL,NULL]",1,"PAR-Response:Answer:no-explanation-needed , NULL",
1266,si toi . [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,NULL,"CHI-Follow-up:Otherwise , CHI-Follow-up:Own-explanation"
1281,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> c'est quoi ça ? [media],"[CHI-Initiation:Information-seeking:fact-based,No-response+No-follow-up,NULL]","[CHI-Initiation:Information-seeking:fact-based,No-response+No-follow-up,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , No-response+No-follow-up , NULL",
1334,c'est quoi ? [media],"[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]","[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , PAR-Response:No-response , NULL",
1335,ja pas . [media],"[CHI-Follow-up:Own-explanation,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,"CHI-Follow-up:Own-explanation , NULL",
1386,oh non toi ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]",1,NULL,"CHI-Initiation:Non-information-seeking , CHI-Initiation:Information-seeking:fact-based , PAR-Response:No-response"
1387,c'est chaud veux yyy sur les bras . [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,NULL,CHI-Follow-up:Own-explanation
1412,là ?,"[NULL,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,NULL,CHI-Initiation:Information-seeking:fact-based
1413,hum hum !,"[NULL,NULL,NULL]","[PAR-Response:Answer:no-explanation-needed,NULL,NULL]",1,NULL,PAR-Response:Answer:no-explanation-needed
1414,yyy petite là . [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,NULL,CHI-Follow-up:Own-explanation
1443,yyy le chaussure ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,NULL,"CHI-Initiation:Non-information-seeking , CHI-Initiation:Information-seeking:fact-based"
1444,hum hum .,"[NULL,NULL,NULL]","[PAR-Response:Answer:no-explanation-needed,NULL,NULL]",1,NULL,PAR-Response:Answer:no-explanation-needed
1446,balai . [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,NULL,CHI-Follow-up:Otherwise
1466,se trouvé quoi ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
1467,le kangourou ! [media],"[PAR-Response:Answer:no-explanation-needed,NULL,NULL]","[PAR-Response:Answer:no-explanation-needed,NULL,NULL]",1,"PAR-Response:Answer:no-explanation-needed , NULL",
1468,on lui met son bébé dans sa poche ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:declarative,NULL,NULL]",1,NULL,"PAR-Response:Non-answer:interrogative , PAR-Response:Non-answer:declarative"
1469,ouais . [media],"[CHI-Follow-up:Signal-agreement,NULL,NULL]","[CHI-Follow-up:Signal-agreement,NULL,NULL]",1,"CHI-Follow-up:Signal-agreement , NULL",
1480,a mangé ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]",1,NULL,"CHI-Initiation:Non-information-seeking , CHI-Initiation:Information-seeking:fact-based , PAR-Response:No-response"
1481,va manger ! [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,NULL,CHI-Follow-up:Own-explanation
1492,l'est où le café maman ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
1493,il est là-bas mais je peux te donner une petite tasse tiens . regarde . [media],"[PAR-Response:Answer:no-explanation-needed,NULL,NULL]","[PAR-Response:Answer:with-explanation-high-quality,NULL,NULL]",1,NULL,"PAR-Response:Answer:no-explanation-needed , PAR-Response:Answer:with-explanation-high-quality"
1494,yyy . [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,"CHI-Follow-up:Otherwise , NULL",
